post_id,user_id,post_date,feature,likes,comments,follows_gained
73,u_200304,2026-05-28,logo_maker,3,0,0
74,u_200312,2026-06-14,text_to_image,4,0,1
75,u_200319,2026-05-01,video_generation,4,0,0
76,u_200323,2026-06-24,ai_headshot,6,0,0
77,u_200333,2026-06-02,video_generation,53,5,2
78,u_200335,2026-05-22,image_to_image,3,0,0
79,u_200335,2026-05-06,background_remover,26,0,0
80,u_200344,2026-06-09,ai_headshot,6,1,0
81,u_200348,2026-04-30,image_to_image,32,6,2
82,u_200352,2026-06-21,text_to_image,14,0,1
83,u_200353,2026-05-14,text_to_image,17,0,0
84,u_200358,2026-05-01,image_to_image,12,8,0
85,u_200377,2026-04-12,text_to_image,31,0,0
86,u_200380,2026-06-18,tattoo_generator,55,0,0
87,u_200384,2026-05-20,outpaint_expand,16,2,0
88,u_200388,2026-06-02,image_to_image,21,0,0
89,u_200397,2026-05-29,text_to_image,12,2,0
90,u_200398,2026-06-10,image_to_image,31,0,0
91,u_200399,2026-05-17,tattoo_generator,23,2,0
92,u_200401,2026-06-20,text_to_image,13,2,0
93,u_200403,2026-06-25,style_transfer,17,3,0
94,u_200429,2026-06-08,style_transfer,44,0,0
95,u_200435,2026-06-25,outpaint_expand,2,2,1
96,u_200440,2026-05-08,text_to_image,7,6,0
97,u_200441,2026-04-29,text_to_image,24,0,0
98,u_200441,2026-06-21,image_to_image,26,2,1
99,u_200445,2026-04-08,image_to_image,22,0,0
100,u_200447,2026-03-16,ai_headshot,8,0,0
101,u_200457,2026-06-19,outpaint_expand,17,0,0
102,u_200457,2026-06-18,upscaler_4k8k,2,0,1
103,u_200457,2026-06-09,tattoo_generator,8,1,0
104,u_200457,2026-05-14,style_transfer,1,1,0
105,u_200464,2026-06-01,ai_headshot,8,6,0
106,u_200469,2026-04-13,interior_design,28,3,0
107,u_200471,2026-04-22,image_to_image,13,0,0
108,u_200472,2026-05-31,text_to_image,28,9,1
109,u_200474,2026-04-10,style_transfer,8,2,0
110,u_200475,2026-04-26,outpaint_expand,2,2,0
111,u_200481,2026-04-21,outpaint_expand,17,2,0
112,u_200489,2026-05-25,flyer_poster_maker,16,6,2
113,u_200491,2026-05-14,upscaler_4k8k,22,1,0
114,u_200499,2026-03-24,text_to_image,1,0,0
115,u_200499,2026-03-31,object_remover,21,1,0
116,u_200506,2026-05-16,background_remover,3,1,0
117,u_200507,2026-06-05,outpaint_expand,33,2,0
118,u_200516,2026-05-27,background_remover,4,1,0
119,u_200520,2026-06-18,ai_headshot,1,0,0
120,u_200537,2026-06-17,text_to_image,3,1,0
121,u_200537,2026-05-28,ai_headshot,6,3,1
122,u_200544,2026-06-21,style_transfer,4,0,0
123,u_200548,2026-05-15,text_to_image,2,0,0
124,u_200559,2026-06-20,text_to_image,7,3,0
125,u_200563,2026-05-05,upscaler_4k8k,29,2,0
126,u_200565,2026-04-20,avatar_generator,5,0,0
127,u_200567,2026-06-22,style_transfer,23,0,0
128,u_200567,2026-05-19,video_generation,2,6,0
129,u_200568,2026-06-26,ai_headshot,47,0,1
130,u_200570,2026-06-27,ai_headshot,20,0,0
131,u_200572,2026-03-27,background_remover,4,3,0
132,u_200576,2026-06-25,text_to_image,5,6,0
133,u_200576,2026-06-02,outpaint_expand,0,0,0
134,u_200578,2026-05-29,style_transfer,3,0,0
135,u_200578,2026-06-28,object_remover,7,1,0
136,u_200580,2026-05-31,background_remover,11,0,1
137,u_200582,2026-03-23,image_to_image,4,3,0
138,u_200583,2026-04-01,ai_headshot,4,1,0
139,u_200583,2026-04-26,text_to_image,23,1,0
140,u_200584,2026-05-17,text_to_image,17,0,2
141,u_200590,2026-06-21,upscaler_4k8k,6,6,0
142,u_200591,2026-06-16,style_transfer,10,3,0
143,u_200591,2026-06-25,style_transfer,53,0,1
144,u_200592,2026-05-24,style_transfer,5,1,0
145,u_200595,2026-06-04,text_to_image,5,4,0
146,u_200597,2026-05-25,image_to_image,3,1,0
147,u_200600,2026-05-06,image_to_image,13,0,0
148,u_200602,2026-06-07,style_transfer,1,3,1
149,u_200602,2026-05-17,image_to_image,24,0,0
150,u_200608,2026-04-16,image_to_image,5,7,0
151,u_200614,2026-06-07,upscaler_4k8k,55,0,0
152,u_200614,2026-04-14,style_transfer,5,1,0
153,u_200615,2026-05-25,ai_headshot,16,1,0
154,u_200617,2026-05-05,avatar_generator,10,0,0
155,u_200619,2026-04-16,text_to_image,15,0,0
156,u_200624,2026-06-01,object_remover,25,3,1
157,u_200632,2026-05-14,image_to_image,41,0,0
158,u_200633,2026-06-27,text_to_image,20,0,0
159,u_200635,2026-06-20,text_to_image,5,1,1
160,u_200635,2026-05-26,text_to_image,12,3,0
161,u_200647,2026-06-08,text_to_image,3,0,0
162,u_200648,2026-04-14,background_remover,47,1,0
163,u_200648,2026-04-30,upscaler_4k8k,3,0,0
164,u_200663,2026-06-22,text_to_image,6,0,0
165,u_200665,2026-06-18,video_generation,16,1,3
166,u_200672,2026-04-25,style_transfer,36,4,0
167,u_200689,2026-04-16,upscaler_4k8k,8,1,0
168,u_200689,2026-03-28,style_transfer,24,0,0
169,u_200690,2026-06-09,style_transfer,51,0,0
170,u_200692,2026-04-23,text_to_image,19,1,0
171,u_200694,2026-06-22,text_to_image,6,0,0
172,u_200694,2026-06-06,ai_headshot,13,3,0
173,u_200695,2026-04-06,flyer_poster_maker,7,4,1
174,u_200695,2026-05-17,object_remover,22,1,0
175,u_200696,2026-05-14,text_to_image,35,0,0
176,u_200700,2026-06-12,object_remover,44,0,1
177,u_200701,2026-06-15,ai_headshot,11,1,0
178,u_200701,2026-05-10,style_transfer,0,0,0
179,u_200704,2026-06-04,outpaint_expand,4,0,0
180,u_200706,2026-06-17,video_generation,42,0,0
181,u_200709,2026-06-13,outpaint_expand,13,5,0
182,u_200713,2026-06-26,text_to_image,11,2,0
183,u_200717,2026-04-19,flyer_poster_maker,2,0,1
184,u_200718,2026-05-27,image_to_image,34,1,0
185,u_200721,2026-06-27,outpaint_expand,9,0,0
186,u_200722,2026-04-05,product_mockup,17,1,0
187,u_200725,2026-05-18,style_transfer,10,3,0
188,u_200726,2026-03-25,video_generation,26,0,0
189,u_200744,2026-04-28,object_remover,8,0,0
190,u_200744,2026-06-02,style_transfer,7,0,0
191,u_200747,2026-06-17,logo_maker,23,0,1
192,u_200755,2026-06-20,text_to_image,13,2,0
193,u_200761,2026-06-17,upscaler_4k8k,1,6,0
194,u_200761,2026-06-28,text_to_image,33,5,1
195,u_200762,2026-05-10,upscaler_4k8k,33,4,0
196,u_200765,2026-06-16,style_transfer,4,0,1
197,u_200766,2026-04-26,image_to_image,6,0,0
198,u_200769,2026-05-20,object_remover,15,2,0
199,u_200769,2026-05-05,background_remover,4,0,0
200,u_200773,2026-04-14,background_remover,3,1,0
201,u_200775,2026-06-14,video_generation,12,4,0
202,u_200778,2026-04-09,image_to_image,1,1,0
203,u_200782,2026-06-06,text_to_image,18,4,0
204,u_200787,2026-06-25,style_transfer,30,0,0
205,u_200797,2026-05-29,image_to_image,27,0,0
206,u_200800,2026-06-17,text_to_image,1,0,0
207,u_200807,2026-05-25,image_to_image,7,2,0
208,u_200808,2026-06-17,style_transfer,4,0,0
209,u_200809,2026-06-14,background_remover,15,5,0
210,u_200810,2026-04-16,background_remover,37,0,1
211,u_200811,2026-04-22,ai_headshot,12,0,0
212,u_200812,2026-06-12,image_to_image,2,2,1
213,u_200812,2026-04-12,interior_design,3,0,1
214,u_200813,2026-06-28,video_generation,7,0,0
215,u_200818,2026-05-22,background_remover,3,0,0
216,u_200819,2026-03-18,avatar_generator,1,0,0
217,u_200822,2026-04-29,background_remover,11,2,1
218,u_200824,2026-04-07,product_mockup,11,0,0
219,u_200830,2026-03-21,text_to_image,15,0,0
220,u_200830,2026-04-07,style_transfer,4,0,1
221,u_200830,2026-04-07,ai_headshot,14,3,0
222,u_200830,2026-06-03,video_generation,29,1,0
223,u_200830,2026-03-26,text_to_image,18,1,0
224,u_200832,2026-04-22,outpaint_expand,7,0,0
225,u_200837,2026-04-14,tattoo_generator,30,0,1
226,u_200841,2026-05-28,logo_maker,17,0,0
227,u_200851,2026-05-21,text_to_image,14,2,0
228,u_200852,2026-05-09,avatar_generator,2,0,0
229,u_200853,2026-03-30,avatar_generator,32,1,0
230,u_200857,2026-06-14,video_generation,6,0,0
231,u_200860,2026-06-08,image_to_image,12,2,0
232,u_200873,2026-06-21,background_remover,5,4,0
233,u_200874,2026-06-26,flyer_poster_maker,1,0,0
234,u_200874,2026-06-06,flyer_poster_maker,4,3,0
235,u_200875,2026-03-29,avatar_generator,11,1,0
236,u_200877,2026-04-16,image_to_image,33,8,0
237,u_200878,2026-06-12,ai_headshot,14,2,0
238,u_200880,2026-05-02,text_to_image,30,0,0
239,u_200897,2026-06-03,upscaler_4k8k,2,0,1
240,u_200904,2026-05-16,logo_maker,25,2,0
241,u_200908,2026-06-21,image_to_image,47,3,0
242,u_200930,2026-04-04,upscaler_4k8k,6,1,0
243,u_200931,2026-06-14,text_to_image,0,0,0
244,u_200931,2026-05-12,outpaint_expand,26,0,0
245,u_200934,2026-04-06,text_to_image,41,1,0
246,u_200939,2026-06-08,image_to_image,27,0,0
247,u_200940,2026-06-18,style_transfer,20,0,0
248,u_200940,2026-03-22,text_to_image,25,6,1
249,u_200940,2026-04-19,style_transfer,2,5,0
250,u_200947,2026-06-19,ai_headshot,2,0,0
251,u_200947,2026-04-19,text_to_image,31,1,0
252,u_200948,2026-05-18,text_to_image,7,0,1
253,u_200948,2026-06-16,upscaler_4k8k,5,0,0
254,u_200951,2026-05-03,object_remover,1,3,0
255,u_200960,2026-05-20,video_generation,5,5,0
256,u_200961,2026-05-30,video_generation,5,0,0
257,u_200965,2026-06-02,flyer_poster_maker,3,0,0
258,u_200981,2026-06-22,style_transfer,12,4,0
259,u_201004,2026-04-10,ai_headshot,11,0,0
260,u_201006,2026-05-18,background_remover,12,3,0
261,u_201008,2026-05-20,style_transfer,4,0,0
262,u_201010,2026-05-20,product_mockup,0,0,0
263,u_201010,2026-06-14,image_to_image,19,1,0
264,u_201010,2026-05-30,logo_maker,8,3,0
265,u_201011,2026-05-01,upscaler_4k8k,23,3,0
266,u_201012,2026-06-09,image_to_image,57,2,1
267,u_201014,2026-05-10,text_to_image,0,1,0
268,u_201014,2026-05-21,image_to_image,16,0,0
269,u_201023,2026-04-09,video_generation,0,0,0
270,u_201027,2026-05-28,text_to_image,8,1,2
271,u_201028,2026-04-24,text_to_image,3,1,0
272,u_201038,2026-06-21,upscaler_4k8k,45,2,1
273,u_201040,2026-06-08,flyer_poster_maker,0,2,0
274,u_201041,2026-05-10,object_remover,12,0,1
275,u_201043,2026-05-26,ai_headshot,6,1,1
276,u_201048,2026-06-11,text_to_image,6,0,1
277,u_201063,2026-06-18,style_transfer,0,0,1
278,u_201063,2026-03-20,avatar_generator,5,1,0
279,u_201064,2026-06-22,flyer_poster_maker,10,6,0
280,u_201073,2026-03-28,image_to_image,9,1,0
281,u_201074,2026-03-18,text_to_image,1,10,0
282,u_201075,2026-06-17,ai_headshot,30,6,1
283,u_201080,2026-03-29,text_to_image,34,0,1
284,u_201080,2026-03-10,ai_headshot,5,0,0
285,u_201080,2026-06-17,style_transfer,12,0,0
286,u_201092,2026-06-05,ai_headshot,47,0,0
287,u_201093,2026-04-13,product_mockup,1,0,0
288,u_201098,2026-05-17,object_remover,37,3,0
289,u_201102,2026-04-17,style_transfer,9,2,2
290,u_201104,2026-06-03,logo_maker,38,1,0
291,u_201112,2026-05-11,image_to_image,32,0,0
292,u_201113,2026-03-12,text_to_image,16,0,0
293,u_201113,2026-05-05,upscaler_4k8k,9,0,0
294,u_201113,2026-03-21,text_to_image,4,0,0
295,u_201113,2026-03-22,ai_headshot,26,0,0
296,u_201124,2026-06-18,style_transfer,6,1,1
297,u_201128,2026-06-27,background_remover,7,1,0
298,u_201133,2026-03-23,object_remover,31,0,0
299,u_201146,2026-06-18,video_generation,50,0,0
300,u_201146,2026-06-22,text_to_image,4,0,0
301,u_201149,2026-04-30,text_to_image,18,0,0
302,u_201149,2026-04-26,image_to_image,19,1,0
303,u_201149,2026-04-09,ai_headshot,51,2,0
304,u_201151,2026-05-22,video_generation,12,2,1
305,u_201154,2026-05-29,text_to_image,62,3,0
306,u_201156,2026-05-05,outpaint_expand,4,5,0
307,u_201162,2026-04-14,text_to_image,3,0,0
308,u_201162,2026-06-13,image_to_image,23,0,0
309,u_201162,2026-03-14,background_remover,31,1,0
310,u_201166,2026-04-17,upscaler_4k8k,16,0,0
311,u_201169,2026-06-21,text_to_image,23,0,0
312,u_201175,2026-04-10,text_to_image,3,4,0
313,u_201175,2026-04-08,object_remover,21,1,0
314,u_201177,2026-04-26,ai_headshot,30,0,0
315,u_201178,2026-05-25,text_to_image,8,0,0
316,u_201179,2026-05-17,ai_headshot,51,1,0
317,u_201180,2026-06-22,image_to_image,17,2,0
318,u_201182,2026-05-27,image_to_image,27,0,1
319,u_201185,2026-06-07,text_to_image,6,2,0
320,u_201200,2026-05-05,interior_design,1,0,0
321,u_201202,2026-05-03,video_generation,4,2,0
322,u_201205,2026-05-18,avatar_generator,17,4,0
323,u_201216,2026-05-20,style_transfer,46,0,0
324,u_201227,2026-05-21,ai_headshot,6,0,0
325,u_201228,2026-05-01,background_remover,45,0,0
326,u_201232,2026-06-09,video_generation,6,0,1
327,u_201236,2026-05-06,image_to_image,18,1,2
328,u_201238,2026-06-21,object_remover,9,0,0
329,u_201241,2026-06-25,text_to_image,28,0,0
330,u_201243,2026-03-09,style_transfer,7,0,3
331,u_201249,2026-05-01,avatar_generator,16,1,0
332,u_201250,2026-04-20,outpaint_expand,2,8,0
333,u_201255,2026-05-03,text_to_image,0,0,0
334,u_201279,2026-05-11,object_remover,61,0,0
335,u_201284,2026-06-10,text_to_image,0,0,0
336,u_201286,2026-04-05,logo_maker,3,7,0
337,u_201288,2026-06-23,ai_headshot,27,5,0
338,u_201289,2026-03-07,text_to_image,5,3,0
339,u_201295,2026-05-30,image_to_image,17,6,0
340,u_201296,2026-03-15,outpaint_expand,18,0,0
341,u_201299,2026-04-23,image_to_image,22,2,0
342,u_201301,2026-06-07,background_remover,8,0,0
343,u_201302,2026-05-27,text_to_image,36,0,0
344,u_201306,2026-06-27,text_to_image,28,0,0
345,u_201308,2026-03-15,video_generation,0,1,1
346,u_201309,2026-06-23,image_to_image,5,1,1
347,u_201311,2026-05-13,text_to_image,16,0,0
348,u_201314,2026-05-10,image_to_image,29,0,0
349,u_201316,2026-06-24,text_to_image,5,0,0
350,u_201316,2026-06-11,text_to_image,31,0,0
351,u_201318,2026-05-16,video_generation,0,0,2
352,u_201327,2026-06-14,video_generation,18,3,0
353,u_201328,2026-06-25,tattoo_generator,21,0,0
354,u_201328,2026-06-19,ai_headshot,0,6,0
355,u_201329,2026-03-09,background_remover,6,1,0
356,u_201334,2026-04-07,background_remover,17,4,0
357,u_201336,2026-06-15,upscaler_4k8k,2,0,0
358,u_201341,2026-05-15,video_generation,2,0,0
359,u_201344,2026-05-13,outpaint_expand,25,0,0
360,u_201354,2026-05-28,background_remover,33,4,0
361,u_201367,2026-06-09,upscaler_4k8k,11,1,0
362,u_201375,2026-05-29,text_to_image,16,1,0
363,u_201378,2026-05-21,logo_maker,32,0,1
364,u_201378,2026-03-31,style_transfer,12,0,0
365,u_201378,2026-06-04,style_transfer,28,0,0
366,u_201383,2026-04-30,flyer_poster_maker,14,2,0
367,u_201385,2026-06-25,text_to_image,5,2,0
368,u_201396,2026-06-08,video_generation,72,0,1
369,u_201397,2026-05-20,background_remover,2,6,1
370,u_201398,2026-06-09,style_transfer,5,2,0
371,u_201398,2026-04-18,upscaler_4k8k,23,3,1
372,u_201398,2026-06-02,style_transfer,42,2,0
373,u_201406,2026-05-02,style_transfer,5,3,1
374,u_201408,2026-04-21,text_to_image,2,1,0
375,u_201409,2026-05-24,outpaint_expand,34,3,1
376,u_201414,2026-06-21,style_transfer,8,8,0
377,u_201417,2026-03-26,style_transfer,35,1,0
378,u_201417,2026-03-28,text_to_image,24,3,0
379,u_201420,2026-04-29,upscaler_4k8k,4,4,0
380,u_201421,2026-04-08,outpaint_expand,26,3,0
381,u_201422,2026-05-18,ai_headshot,40,1,0
382,u_201422,2026-06-11,image_to_image,2,0,1
383,u_201435,2026-06-18,style_transfer,6,0,0
384,u_201437,2026-05-06,image_to_image,48,4,0
385,u_201441,2026-05-01,video_generation,10,4,0
386,u_201442,2026-06-12,object_remover,2,4,0
387,u_201446,2026-04-24,text_to_image,43,0,0
388,u_201449,2026-05-29,text_to_image,13,0,0
389,u_201451,2026-04-30,image_to_image,19,5,0
390,u_201459,2026-03-07,style_transfer,15,3,0
391,u_201468,2026-06-08,ai_headshot,30,0,0
392,u_201473,2026-05-06,style_transfer,4,1,0
393,u_201478,2026-05-06,text_to_image,25,0,0
394,u_201480,2026-06-17,text_to_image,11,2,0
395,u_201491,2026-06-22,video_generation,5,0,0
396,u_201491,2026-05-12,background_remover,5,3,0
397,u_201495,2026-06-05,ai_headshot,4,3,0
398,u_201505,2026-05-15,logo_maker,3,6,0
399,u_201507,2026-06-08,text_to_image,20,0,0
400,u_201508,2026-04-06,avatar_generator,17,3,0
401,u_201508,2026-03-27,text_to_image,4,3,1
402,u_201509,2026-05-26,video_generation,23,1,0
403,u_201510,2026-06-05,logo_maker,3,8,0
404,u_201511,2026-04-07,outpaint_expand,1,1,0
405,u_201515,2026-05-29,text_to_image,46,1,0
406,u_201518,2026-06-28,object_remover,18,0,0
407,u_201525,2026-06-04,object_remover,24,0,1
408,u_201530,2026-04-19,video_generation,4,1,0
409,u_201531,2026-03-31,logo_maker,16,3,0
410,u_201534,2026-06-10,video_generation,40,0,0
411,u_201539,2026-05-19,avatar_generator,20,6,1
412,u_201539,2026-05-29,upscaler_4k8k,3,1,0
413,u_201542,2026-06-23,style_transfer,6,3,0
414,u_201544,2026-05-19,text_to_image,13,1,0
415,u_201547,2026-06-14,text_to_image,35,0,0
416,u_201551,2026-06-22,text_to_image,12,0,0
417,u_201553,2026-06-19,ai_headshot,3,0,0
418,u_201557,2026-05-23,object_remover,11,1,0
419,u_201562,2026-04-25,outpaint_expand,10,0,0
420,u_201563,2026-03-14,image_to_image,7,0,0
421,u_201564,2026-04-24,ai_headshot,13,3,0
422,u_201569,2026-05-02,upscaler_4k8k,21,2,0
423,u_201573,2026-05-07,outpaint_expand,4,0,1
424,u_201573,2026-05-24,style_transfer,26,0,0
425,u_201578,2026-05-15,text_to_image,1,0,0
426,u_201578,2026-04-08,outpaint_expand,41,0,0
427,u_201581,2026-06-04,tattoo_generator,6,2,0
428,u_201582,2026-06-24,style_transfer,0,5,0
429,u_201586,2026-05-29,text_to_image,16,2,0
430,u_201589,2026-06-08,ai_headshot,10,0,0
431,u_201589,2026-05-05,video_generation,8,0,0
432,u_201594,2026-05-07,background_remover,33,3,0
433,u_201595,2026-05-20,outpaint_expand,13,1,0
434,u_201600,2026-06-12,image_to_image,36,0,0
435,u_201612,2026-04-06,tattoo_generator,16,0,0
436,u_201616,2026-03-14,text_to_image,16,0,0
437,u_201622,2026-06-03,logo_maker,1,0,0
438,u_201636,2026-06-26,logo_maker,53,2,0
439,u_201637,2026-06-24,text_to_image,14,0,0
440,u_201651,2026-04-27,text_to_image,9,1,0
441,u_201661,2026-06-28,flyer_poster_maker,51,1,0
442,u_201662,2026-06-13,upscaler_4k8k,59,2,0
443,u_201679,2026-06-17,text_to_image,2,0,1
444,u_201681,2026-06-26,background_remover,57,2,0
445,u_201684,2026-05-15,object_remover,4,0,0
446,u_201685,2026-05-14,image_to_image,18,1,0
447,u_201686,2026-05-24,tattoo_generator,3,0,0
448,u_201688,2026-06-07,background_remover,9,0,0
449,u_201691,2026-06-19,text_to_image,2,0,0
450,u_201692,2026-06-20,video_generation,13,1,0
451,u_201692,2026-06-20,avatar_generator,14,1,0
452,u_201696,2026-03-10,image_to_image,8,3,1
453,u_201696,2026-03-23,upscaler_4k8k,3,4,0
454,u_201707,2026-05-10,upscaler_4k8k,86,1,0
455,u_201707,2026-06-25,ai_headshot,2,1,0
456,u_201716,2026-05-24,text_to_image,17,0,0
457,u_201722,2026-04-28,outpaint_expand,12,5,0
458,u_201732,2026-06-17,ai_headshot,10,0,0
459,u_201736,2026-06-05,ai_headshot,6,0,0
460,u_201737,2026-06-17,style_transfer,6,7,0
461,u_201738,2026-05-09,avatar_generator,4,7,0
462,u_201738,2026-04-19,outpaint_expand,13,1,0
463,u_201747,2026-06-18,background_remover,4,8,0
464,u_201750,2026-05-08,interior_design,3,0,0
465,u_201758,2026-05-19,image_to_image,39,0,1
466,u_201761,2026-03-10,upscaler_4k8k,3,2,0
467,u_201765,2026-06-20,video_generation,12,0,0
468,u_201766,2026-04-02,text_to_image,11,2,0
469,u_201769,2026-06-16,style_transfer,1,0,0
470,u_201775,2026-03-28,image_to_image,1,3,0
471,u_201781,2026-05-24,upscaler_4k8k,13,0,0
472,u_201783,2026-06-08,upscaler_4k8k,26,0,0
473,u_201788,2026-06-01,style_transfer,8,0,1
474,u_201789,2026-04-19,logo_maker,3,2,0
475,u_201793,2026-03-25,style_transfer,33,0,0
476,u_201793,2026-04-04,object_remover,2,4,0
477,u_201804,2026-06-01,avatar_generator,7,1,0
478,u_201805,2026-05-15,style_transfer,18,1,0
479,u_201806,2026-03-31,ai_headshot,1,2,0
480,u_201806,2026-03-23,text_to_image,5,1,0
481,u_201808,2026-05-22,image_to_image,7,0,0
482,u_201812,2026-05-16,style_transfer,8,1,0
483,u_201814,2026-06-25,avatar_generator,17,1,0
484,u_201815,2026-04-30,outpaint_expand,22,0,0
485,u_201815,2026-06-13,ai_headshot,29,2,0
486,u_201822,2026-06-19,ai_headshot,40,7,0
487,u_201833,2026-06-25,text_to_image,11,0,0
488,u_201833,2026-06-09,text_to_image,45,1,0
489,u_201837,2026-03-07,flyer_poster_maker,5,1,0
490,u_201851,2026-04-17,style_transfer,4,0,0
491,u_201852,2026-06-25,upscaler_4k8k,0,0,0
492,u_201853,2026-04-20,style_transfer,19,0,0
493,u_201860,2026-06-03,style_transfer,11,1,0
494,u_201861,2026-06-05,flyer_poster_maker,28,0,0
495,u_201861,2026-04-21,text_to_image,2,1,0
496,u_201865,2026-06-16,ai_headshot,11,0,0
497,u_201866,2026-06-07,text_to_image,0,1,0
498,u_201869,2026-05-12,image_to_image,4,4,0
499,u_201876,2026-06-14,image_to_image,9,0,0
500,u_201891,2026-06-19,image_to_image,2,0,0
501,u_201892,2026-06-10,text_to_image,6,0,0
502,u_201892,2026-06-23,text_to_image,2,0,1
503,u_201892,2026-06-18,style_transfer,24,3,0
504,u_201893,2026-05-13,product_mockup,2,0,1
505,u_201893,2026-06-23,image_to_image,35,0,0
506,u_201896,2026-05-01,text_to_image,7,1,0
507,u_201898,2026-05-25,ai_headshot,23,5,0
508,u_201910,2026-04-28,upscaler_4k8k,25,3,0
509,u_201918,2026-06-10,upscaler_4k8k,31,2,2
510,u_201918,2026-05-31,image_to_image,10,0,1
511,u_201924,2026-06-13,image_to_image,36,1,2
512,u_201930,2026-06-22,background_remover,3,4,0
513,u_201931,2026-06-21,text_to_image,13,2,0
514,u_201936,2026-04-21,object_remover,24,4,0
515,u_201937,2026-05-10,text_to_image,3,1,0
516,u_201937,2026-06-06,text_to_image,13,1,1
517,u_201937,2026-06-28,video_generation,36,0,0
518,u_201945,2026-06-10,style_transfer,12,0,0
519,u_201948,2026-03-04,text_to_image,2,0,0
520,u_201948,2026-05-11,text_to_image,28,2,1
521,u_201951,2026-06-21,logo_maker,7,0,1
522,u_201980,2026-05-28,image_to_image,26,0,0
523,u_201980,2026-06-01,upscaler_4k8k,14,3,0
524,u_201986,2026-04-19,background_remover,11,1,2
525,u_201989,2026-04-10,text_to_image,3,2,0
