user_id,signup_date,acquisition_channel,country,platform,plan_tier,age_bucket,app_version,os_version
u_200185,2026-04-17,organic_search,Pakistan,iOS,free,25-34,7.1.0,18.2
u_200186,2026-06-05,influencer,United Kingdom,Android,pro_monthly,18-24,6.8.0,14
u_200187,2026-04-02,paid_social,United Kingdom,Android,pro_monthly,18-24,6.8.0,13
u_200188,2026-06-10,app_store_browse,Pakistan,Android,free,18-24,7.0.1,13
u_200189,2026-03-06,paid_social,United States,Android,free,13-17,6.9.0,15
u_200190,2026-03-11,paid_social,United Arab Emirates,Web,free,25-34,7.1.0,n/a
u_200191,2026-06-17,referral,Pakistan,Android,free,35-44,7.1.0,12
u_200192,2026-04-01,influencer,United States,Android,free,35-44,7.0.1,13
u_200193,2026-05-26,influencer,Pakistan,Android,free,25-34,7.1.0,15
u_200194,2026-03-18,app_store_browse,Brazil,Web,pro_monthly,18-24,6.9.0,n/a
u_200195,2026-05-03,paid_search,United States,Android,free,25-34,6.9.0,14
u_200196,2026-06-21,organic_search,United Kingdom,Web,free,25-34,7.1.0,n/a
u_200197,2026-06-10,referral,United Kingdom,Android,free,25-34,7.0.1,15
u_200198,2026-04-25,paid_social,United Arab Emirates,Android,free,18-24,6.9.0,13
u_200199,2026-04-12,referral,Germany,iOS,pro_monthly,25-34,7.1.0,18.2
u_200200,2026-03-30,referral,Nigeria,Web,free,25-34,6.9.2,n/a
u_200201,2026-03-07,paid_social,United States,Android,free,18-24,7.1.0,12
u_200202,2026-05-18,organic_search,India,Web,pro_annual,13-17,7.0.1,n/a
u_200203,2026-05-23,influencer,Saudi Arabia,Android,free,18-24,7.1.0,15
u_200204,2026-06-02,paid_social,Turkey,iOS,free,45+,7.0.0,17.4
u_200205,2026-04-22,influencer,India,Android,free,18-24,7.1.0,12
u_200206,2026-05-11,app_store_browse,Indonesia,iOS,pro_monthly,25-34,7.0.0,18.2
u_200207,2026-04-22,paid_social,India,iOS,free,45+,7.1.0,17.0
u_200208,2026-04-08,paid_search,Brazil,Web,free,45+,7.1.0,n/a
u_200209,2026-04-10,referral,United States,Android,free,18-24,7.0.0,15
u_200210,2026-04-07,paid_social,India,Android,free,18-24,6.9.0,13
u_200211,2026-06-11,influencer,Pakistan,Android,free,25-34,7.1.0,15
u_200212,2026-06-15,organic_search,United Arab Emirates,iOS,free,25-34,7.0.1,18.2
u_200213,2026-05-03,paid_social,United States,Web,free,25-34,7.1.0,n/a
u_200214,2026-03-19,organic_search,India,iOS,free,25-34,7.0.1,18.0
u_200215,2026-05-23,influencer,Saudi Arabia,iOS,free,25-34,7.0.0,18.0
u_200216,2026-05-05,paid_social,Philippines,iOS,free,25-34,7.0.0,17.4
u_200217,2026-03-30,paid_social,United Arab Emirates,iOS,free,25-34,7.1.0,18.0
u_200218,2026-05-15,influencer,Turkey,iOS,free,35-44,7.1.0,18.2
u_200219,2026-03-07,paid_search,Saudi Arabia,iOS,free,25-34,6.9.0,17.0
u_200220,2026-03-17,referral,United States,Android,free,18-24,7.1.0,12
u_200221,2026-04-14,influencer,Saudi Arabia,iOS,pro_monthly,25-34,7.1.0,18.0
u_200222,2026-03-28,paid_social,United States,Android,free,18-24,6.9.0,12
u_200223,2026-03-28,app_store_browse,Saudi Arabia,Web,free,18-24,7.0.1,n/a
u_200224,2026-03-30,paid_search,Pakistan,iOS,free,18-24,7.0.1,18.0
u_200225,2026-03-12,paid_search,Germany,Web,free,25-34,7.0.0,n/a
u_200226,2026-05-01,influencer,India,iOS,free,25-34,7.0.1,17.4
u_200227,2026-04-16,referral,United Kingdom,Web,free,18-24,7.1.0,n/a
u_200228,2026-03-21,paid_social,Brazil,iOS,pro_monthly,18-24,7.0.0,17.4
u_200229,2026-06-09,paid_search,United Kingdom,Android,free,25-34,7.0.0,12
u_200230,2026-03-22,paid_social,Nigeria,Web,free,25-34,7.1.0,n/a
u_200231,2026-03-11,referral,Turkey,Web,pro_annual,18-24,7.0.1,n/a
u_200232,2026-03-10,app_store_browse,United States,iOS,free,25-34,6.9.2,16.5
u_200233,2026-03-11,organic_search,United Kingdom,Android,free,25-34,7.0.0,15
u_200234,2026-05-21,organic_search,India,iOS,enterprise,25-34,7.0.0,17.0
u_200235,2026-04-11,influencer,Indonesia,iOS,pro_monthly,35-44,7.0.0,17.4
u_200236,2026-03-14,paid_social,United States,iOS,free,18-24,7.0.1,16.5
u_200237,2026-06-19,organic_search,Pakistan,Android,pro_monthly,18-24,6.8.0,15
u_200238,2026-05-04,paid_social,United States,Android,free,45+,7.1.0,14
u_200239,2026-06-03,paid_search,United States,Web,free,25-34,7.0.1,n/a
u_200240,2026-04-02,influencer,United States,iOS,pro_monthly,25-34,6.9.0,17.0
u_200241,2026-05-27,paid_search,Turkey,Android,pro_monthly,25-34,7.1.0,12
u_200242,2026-05-24,paid_social,United Arab Emirates,Android,free,18-24,7.0.1,15
u_200243,2026-06-16,paid_social,Saudi Arabia,Android,free,13-17,7.0.1,14
u_200244,2026-03-01,app_store_browse,India,Web,free,25-34,6.9.2,n/a
u_200245,2026-04-12,paid_search,Germany,Android,free,18-24,6.9.2,15
u_200246,2026-03-15,paid_search,United Kingdom,iOS,free,18-24,7.1.0,18.0
u_200247,2026-05-14,paid_social,Pakistan,iOS,free,13-17,6.9.2,18.0
u_200248,2026-04-16,paid_social,Pakistan,iOS,pro_annual,25-34,7.0.1,17.0
u_200249,2026-04-28,influencer,Indonesia,Web,free,25-34,6.9.2,n/a
u_200250,2026-03-23,organic_search,United States,Web,free,18-24,7.0.0,n/a
u_200251,2026-06-02,paid_social,Nigeria,Android,free,25-34,7.0.1,15
u_200252,2026-03-09,app_store_browse,Germany,iOS,free,25-34,7.0.0,17.4
u_200253,2026-03-09,organic_search,Brazil,iOS,free,25-34,7.0.1,18.0
u_200254,2026-06-08,paid_search,United States,iOS,free,25-34,7.1.0,16.5
u_200255,2026-06-06,app_store_browse,United Kingdom,Android,pro_monthly,25-34,7.0.1,15
u_200256,2026-04-24,paid_search,Turkey,Android,free,25-34,7.0.1,13
u_200257,2026-04-07,paid_social,Indonesia,iOS,free,35-44,7.1.0,17.0
u_200258,2026-06-18,organic_search,Indonesia,Web,free,25-34,7.0.0,n/a
u_200259,2026-06-16,influencer,Germany,iOS,free,25-34,7.0.0,18.0
u_200260,2026-04-12,app_store_browse,Germany,iOS,free,25-34,6.9.0,17.0
u_200261,2026-03-27,organic_search,United Kingdom,Android,free,35-44,7.1.0,12
u_200262,2026-05-04,organic_search,United Kingdom,Web,free,18-24,6.9.2,n/a
u_200263,2026-03-22,paid_search,Saudi Arabia,Web,free,25-34,7.0.0,n/a
u_200264,2026-05-18,influencer,Nigeria,Web,free,25-34,7.0.0,n/a
u_200265,2026-04-24,influencer,India,iOS,free,18-24,7.0.1,18.0
u_200266,2026-04-05,organic_search,United States,Android,free,35-44,7.0.1,12
u_200267,2026-06-01,paid_social,United States,Web,free,25-34,6.9.0,n/a
u_200268,2026-03-26,app_store_browse,Nigeria,iOS,free,18-24,7.1.0,18.0
u_200269,2026-06-16,paid_social,United Arab Emirates,Android,free,18-24,6.9.2,15
u_200270,2026-03-15,organic_search,United Kingdom,iOS,free,18-24,7.1.0,18.0
u_200271,2026-04-09,paid_search,Saudi Arabia,Web,pro_monthly,25-34,7.1.0,n/a
u_200272,2026-04-09,paid_search,United States,Android,free,25-34,7.0.0,12
u_200273,2026-05-31,organic_search,Philippines,Android,free,18-24,7.1.0,13
u_200274,2026-04-15,influencer,Nigeria,Android,free,25-34,7.0.1,12
u_200275,2026-05-13,referral,India,Android,free,18-24,6.9.2,14
u_200276,2026-05-19,paid_social,India,Android,free,35-44,7.0.0,13
u_200277,2026-06-06,influencer,India,Web,free,18-24,7.0.0,n/a
u_200278,2026-04-20,app_store_browse,United States,iOS,free,35-44,7.0.1,17.4
u_200279,2026-05-21,paid_social,India,Android,free,18-24,6.9.2,15
u_200280,2026-03-01,organic_search,India,Web,pro_monthly,18-24,7.1.0,n/a
u_200281,2026-05-11,organic_search,Philippines,Web,free,25-34,6.9.0,n/a
u_200282,2026-04-11,app_store_browse,Pakistan,Android,free,25-34,6.9.2,14
u_200283,2026-06-03,organic_search,India,Android,free,35-44,7.0.1,13
u_200284,2026-06-08,referral,Pakistan,Android,pro_annual,35-44,7.1.0,12
u_200285,2026-04-22,organic_search,United States,iOS,enterprise,13-17,7.0.0,18.2
u_200286,2026-05-09,paid_social,Pakistan,iOS,free,45+,7.1.0,17.0
u_200287,2026-04-23,influencer,Saudi Arabia,Android,free,25-34,7.0.1,14
u_200288,2026-03-30,paid_search,United Kingdom,iOS,pro_annual,25-34,7.1.0,18.2
u_200289,2026-06-09,paid_social,United States,Android,free,25-34,7.0.1,15
u_200290,2026-06-16,referral,Nigeria,Android,free,25-34,7.1.0,14
u_200291,2026-06-03,paid_social,United Arab Emirates,iOS,free,35-44,7.0.1,16.5
u_200292,2026-04-14,paid_social,Saudi Arabia,iOS,free,18-24,7.0.1,18.2
u_200293,2026-05-19,referral,Indonesia,iOS,free,18-24,7.0.0,17.4
u_200294,2026-06-13,paid_social,Philippines,Android,free,35-44,7.0.1,13
u_200295,2026-05-21,paid_search,United States,iOS,free,18-24,7.0.0,16.5
u_200296,2026-03-14,influencer,United States,iOS,free,18-24,7.0.0,16.5
u_200297,2026-03-20,paid_social,Indonesia,Android,free,35-44,7.0.1,14
u_200298,2026-05-10,organic_search,India,Android,free,45+,7.0.1,15
u_200299,2026-05-22,referral,India,Android,free,18-24,7.1.0,15
u_200300,2026-05-13,influencer,Brazil,Web,free,35-44,7.1.0,n/a
u_200301,2026-06-15,referral,United Kingdom,iOS,free,35-44,6.9.2,17.4
u_200302,2026-06-10,app_store_browse,India,Android,free,35-44,7.0.1,15
u_200303,2026-05-26,referral,India,Android,free,35-44,6.9.2,12
u_200304,2026-05-16,paid_search,Brazil,iOS,free,35-44,7.1.0,17.4
u_200305,2026-04-29,paid_social,Germany,Android,pro_annual,13-17,6.8.0,12
u_200306,2026-04-13,referral,Pakistan,Android,free,18-24,6.9.2,15
u_200307,2026-05-03,paid_social,United States,Android,free,35-44,6.9.2,13
u_200308,2026-03-27,organic_search,United States,iOS,free,25-34,7.0.1,17.4
u_200309,2026-06-09,paid_social,United Kingdom,Web,free,18-24,6.8.0,n/a
u_200310,2026-06-20,app_store_browse,Philippines,iOS,free,35-44,7.1.0,18.0
u_200311,2026-06-18,paid_search,India,iOS,free,25-34,7.1.0,16.5
u_200312,2026-05-25,app_store_browse,Indonesia,iOS,pro_monthly,18-24,6.9.0,17.4
u_200313,2026-03-14,app_store_browse,United States,iOS,free,13-17,7.0.1,18.0
u_200314,2026-04-22,paid_social,Brazil,iOS,pro_monthly,18-24,7.0.1,17.4
u_200315,2026-03-28,paid_search,Nigeria,iOS,free,18-24,6.9.2,17.4
u_200316,2026-04-27,paid_search,United Arab Emirates,Web,enterprise,25-34,7.0.0,n/a
u_200317,2026-06-15,influencer,United Kingdom,iOS,free,45+,6.8.0,18.2
u_200318,2026-05-22,app_store_browse,India,Android,free,35-44,7.1.0,14
u_200319,2026-04-18,paid_social,Pakistan,iOS,pro_monthly,25-34,6.9.2,17.4
u_200320,2026-04-21,organic_search,India,Web,free,18-24,7.0.1,n/a
u_200321,2026-03-21,app_store_browse,Saudi Arabia,iOS,free,18-24,7.1.0,17.4
u_200322,2026-03-23,paid_social,Nigeria,iOS,free,25-34,7.0.1,17.0
u_200323,2026-05-14,influencer,Indonesia,Web,free,25-34,7.0.0,n/a
u_200324,2026-05-09,app_store_browse,United States,iOS,free,18-24,7.0.1,18.0
u_200325,2026-03-21,influencer,United Kingdom,iOS,free,18-24,7.1.0,18.2
u_200326,2026-06-12,paid_social,Pakistan,iOS,free,18-24,7.0.1,18.0
u_200327,2026-03-04,referral,United Arab Emirates,iOS,free,18-24,7.1.0,18.0
u_200328,2026-04-29,paid_search,United States,Android,free,18-24,7.1.0,13
u_200329,2026-03-24,paid_search,United States,iOS,pro_monthly,18-24,7.0.1,18.0
u_200330,2026-05-07,influencer,United Kingdom,iOS,free,35-44,7.0.0,16.5
u_200331,2026-03-08,paid_search,Pakistan,iOS,free,45+,7.0.1,17.4
u_200332,2026-05-16,influencer,Brazil,iOS,free,18-24,6.9.2,16.5
u_200333,2026-05-21,organic_search,United Arab Emirates,Android,free,25-34,7.0.1,15
u_200334,2026-06-05,paid_social,India,Android,free,18-24,7.1.0,15
u_200335,2026-04-04,referral,United States,Android,free,25-34,6.9.0,13
u_200336,2026-03-15,paid_social,United Arab Emirates,iOS,pro_monthly,35-44,7.0.0,17.0
u_200337,2026-05-14,organic_search,Indonesia,iOS,free,18-24,7.0.1,18.0
